"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","01-Apr-2021","       2431.50","       2446.80","       2446.80","       2392.05","       2399.00","       2399.10","       2417.26","    1532653","          3704820898.35","      89059","     879833","         57.41"
"HINDUNILVR","EQ","05-Apr-2021","       2399.10","       2400.00","       2417.20","       2346.50","       2375.10","       2373.20","       2377.34","    2545447","          6051401407.40","     129980","    1826014","         71.74"
"HINDUNILVR","EQ","06-Apr-2021","       2373.20","       2382.30","       2411.00","       2377.35","       2408.00","       2408.30","       2400.42","    3683538","          8842042795.40","      90844","    2880067","         78.19"
"HINDUNILVR","EQ","07-Apr-2021","       2408.30","       2417.00","       2435.00","       2387.35","       2399.50","       2405.25","       2412.73","    1713970","          4135342379.90","      68739","     950532","         55.46"
"HINDUNILVR","EQ","08-Apr-2021","       2405.25","       2406.00","       2439.00","       2395.60","       2410.00","       2409.90","       2420.75","    1814515","          4392483247.25","      72630","    1169318","         64.44"
"HINDUNILVR","EQ","09-Apr-2021","       2409.90","       2424.00","       2483.00","       2424.00","       2471.35","       2476.00","       2467.89","    2604858","          6428507144.15","     123029","    1163762","         44.68"
"HINDUNILVR","EQ","12-Apr-2021","       2476.00","       2441.50","       2488.25","       2437.60","       2460.00","       2462.00","       2453.26","    2261945","          5549148450.95","      92405","    1433992","         63.40"
"HINDUNILVR","EQ","13-Apr-2021","       2462.00","       2470.00","       2505.90","       2448.80","       2467.00","       2454.40","       2468.56","    1811781","          4472486455.95","     109529","    1009633","         55.73"
"HINDUNILVR","EQ","15-Apr-2021","       2454.40","       2497.00","       2497.00","       2421.10","       2469.90","       2460.65","       2451.04","    3352379","          8216829240.95","     104105","    2318209","         69.15"
"HINDUNILVR","EQ","16-Apr-2021","       2460.65","       2469.90","       2478.95","       2440.00","       2453.95","       2458.90","       2458.55","    1225517","          3013000836.15","      56380","     664692","         54.24"
"HINDUNILVR","EQ","19-Apr-2021","       2458.90","       2440.00","       2459.70","       2414.05","       2418.80","       2436.65","       2433.96","    1746316","          4250471336.30","      71578","    1047352","         59.97"
"HINDUNILVR","EQ","20-Apr-2021","       2436.65","       2456.00","       2456.00","       2383.80","       2395.00","       2397.45","       2410.82","    1589508","          3832022125.45","      71961","     947816","         59.63"
